participant_id;device
9M2KXX;Fairphone FP5-Android 14
7J7DXM;samsung SM-A546B-Android 14
9W8SXR;samsung SM-G991B-Android 14
7J7DXM;samsung SM-A546B-Android 15
1S6M3E;Google Pixel 4a-Android 13
12Z5L2M;iPhone-iOS 18.5
11W4Y1H;iPhone-iOS 18.5
5W2SXE;iPhone-iOS 18.4.1
8F5P1K;iPhone-iOS 18.5
4T11G3A;iPhone-iOS 18.3.1
1S2CXW;iPhone-iOS 18.4.1
2E7B3M;iPhone-iOS 18.4.1
4W12GXH;iPhone-iOS 18.4.1
2F11GXA;iPhone-iOS 18.5
3S8R1G;iPhone-iOS 18.5
5S4G1W;samsung SM-S911B-Android 15
6M9B3S;iPhone-iOS 18.5
0Q1Q9Q;iPhone-iOS 18.5
3S1P3M;iPhone-iOS 18.5
2W12R1D;iPhone-iOS 18.4.1
7F3MXU;iPhone-iOS 18.4.1
10Z12S2G;iPhone-iOS 18.5
9M2KXX;Fairphone FP4-Android 13
3H8WXK;iPhone-iOS 18.5
4T11G3A;iPhone-iOS 18.5
4F2ZXD;samsung SM-A526B-Android 14
5W2SXE;iPhone-iOS 18.5
3H8WXK;iPhone-iOS 18.4.1
0M9B3S;iPhone-iOS 18.3.2
4B12HXW;iPhone-iOS 18.4.1
7Z6L2F;iPhone-iOS 18.5
10Z9B1H;iPhone-iOS 18.5
1S2CXW;iPhone-iOS 18.5
12W10B2R;iPhone-iOS 18.5
10H7K1A;iPhone-iOS 18.5
6U5J3P;iPhone-iOS 18.4.1
2W12R1D;iPhone-iOS 18.5
5W2RXT;iPhone-iOS 18.4.1
1L3E1K;iPhone-iOS 18.5
4W12GXH;iPhone-iOS 18.5
2R9BXL;iPhone-iOS 18.2
1L3E1K;iPhone-iOS 18.4.1
9W8SXR;samsung SM-G991B-Android 15
9E9R3P;iPhone-iOS 18.4.1
12W4H1U;iPhone-iOS 18.3.1
6T2PXJ;samsung SM-A528B-Android 14
4B12HXW;iPhone-iOS 18.5
3K9V1H;samsung SM-S911B-Android 15
10Z9B1H;iPhone-iOS 18.4.1
10Z12S2G;iPhone-iOS 18.4.1
5W2RXT;iPhone-iOS 18.5
1G2T1K;iPhone-iOS 18.5
2E7B3M;iPhone-iOS 18.5
9S11M3D;iPhone-iOS 18.5
7F3MXU;iPhone-iOS 18.5
1M9B3S;iPhone-iOS 18.3.2
4Z11FXF;Fairphone FP5-Android 14
0L3S1J;iPhone-iOS 18.5
6M9B3S;iPhone-iOS 18.3.2
7G7W3W;iPhone-iOS 18.3.2
9K5KXE;iPhone-iOS 18.3.2
3U3F2M;samsung SM-G781B-Android 13
12S9J1P;samsung SM-G991B-Android 14
7Z6L2F;iPhone-iOS 18.4.1
