time_range,day_of_week,month,mode_of_transport,geohash,direction
18-21,TUESDAY,8,BUS,u0m70dcm,EAST
18-21,TUESDAY,8,BUS,u0m70ddq,NORTH_WEST
18-21,TUESDAY,8,BUS,u0m70dfh,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m70fqv,NORTH_EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m70fqk,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m70fx8,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m70fk1,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m70f62,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m70f30,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m70fm6,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m70f79,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m70f6b,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m70fk9,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m70f38,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m714t2,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m714mz,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m714x7,NORTH_EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m714wc,EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m714xq,SOUTH
6-9,WEDNESDAY,8,ON_BICYCLE,u0m714x6,NORTH
6-9,WEDNESDAY,8,ON_BICYCLE,u0m714qr,NORTH_EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m714s8,EAST
9-12,WEDNESDAY,8,WALKING,u0m44z8d,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44xzv,SOUTH
9-12,WEDNESDAY,8,WALKING,u0m44yg8,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44xzz,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44ys5,EAST
9-12,WEDNESDAY,8,WALKING,u0m44z34,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44z8k,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44z2z,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44yey,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44yg4,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44yfu,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44z1g,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44z32,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44z2v,SOUTH
9-12,WEDNESDAY,8,WALKING,u0m44zb4,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44z43,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44yfw,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44z8r,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m44z1t,SOUTH_EAST
6-9,WEDNESDAY,8,ON_BICYCLE,u0m71486,EAST
9-12,WEDNESDAY,8,WALKING,u0m7099u,WEST
9-12,WEDNESDAY,8,WALKING,u0m4zt41,SOUTH_WEST
9-12,WEDNESDAY,8,WALKING,u0m700we,SOUTH_WEST
9-12,WEDNESDAY,8,WALKING,u0m4z1rz,SOUTH_EAST
9-12,WEDNESDAY,8,WALKING,u0m4z7xh,SOUTH_WEST
9-12,WEDNESDAY,8,WALKING,u0m4zyyw,SOUTH_WEST
9-12,WEDNESDAY,8,WALKING,u0m4y8jh,WEST
9-12,WEDNESDAY,8,WALKING,u0m70gnk,SOUTH_WEST
9-12,WEDNESDAY,8,WALKING,u0m4xrdz,WEST
15-18,WEDNESDAY,8,TRAIN,u0m714tt,EAST
15-18,WEDNESDAY,8,TRAIN,u0m70gnj,SOUTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m70dzq,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4tv04,EAST
15-18,WEDNESDAY,8,TRAIN,u0m7029n,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4zye0,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m70dy9,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m714bh,SOUTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4z299,NORTH
15-18,WEDNESDAY,8,TRAIN,u0m714s5,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4z29e,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m714wq,EAST
15-18,WEDNESDAY,8,TRAIN,u0m700ju,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m703w1,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m714dh,EAST
15-18,WEDNESDAY,8,TRAIN,u0m714wy,SOUTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4ef7v,EAST
15-18,WEDNESDAY,8,TRAIN,u0m70g75,EAST
18-21,WEDNESDAY,8,ON_BICYCLE,u0m70fx0,EAST
18-21,WEDNESDAY,8,ON_BICYCLE,u0m70f68,EAST
18-21,WEDNESDAY,8,ON_BICYCLE,u0m715vq,NORTH_EAST
18-21,WEDNESDAY,8,ON_BICYCLE,u0m715s1,NORTH_EAST
21-0,WEDNESDAY,8,ON_BICYCLE,u0m7151d,SOUTH
21-0,WEDNESDAY,8,ON_BICYCLE,u0m70fmb,WEST
21-0,WEDNESDAY,8,ON_BICYCLE,u0m7149n,SOUTH_WEST
21-0,WEDNESDAY,8,ON_BICYCLE,u0m70dnz,SOUTH
9-12,THURSDAY,8,ON_BICYCLE,u0m7068b,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p59v,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m704f4,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p74m,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p6z0,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m703un,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pfsk,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m704y3,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n59s,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m5nesr,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5jsk8,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m709gk,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ngzb,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5jkhc,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pdw8,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n73x,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pdt1,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ne9n,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n7wm,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p72s,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n54w,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m7065h,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5nezc,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5jsr1,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m7068q,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pds4,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5j5wt,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p5qq,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n5rv,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5jupt,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ngc1,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ngvw,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m704g9,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m70664,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m704zd,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ngyv,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n531,NORTH_EAST
